# Gallery Image URLs for samthegeek.net
# Format: GALLERY_NAME|IMAGE_URL
# Total: 338 images across 7 galleries

# COPENHAGEN (35 images)
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884380574-2ZFW7H3140J0WZAYZM6O/9CF048C9-C7EC-4C50-ACC2-E31A8CC44379-2512-000009EE3D236624_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884403599-OCVMTDXZ22E57RJVF4HA/16C2D5B3-2848-437B-AC2A-821855B1EA95-734-000000E09F4BE1BE_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884409214-EX6E8R1F76MHR8M58XXD/24B7FF93-7815-4C05-9B88-6F5FA4464063-266-00000082BF9A63B8_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884436177-ROYCQUNB0GR7K5W070PG/035C2A3C-2DB9-4851-8F62-CDC006B5E058-2512-000009EE8776ABC4_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884439012-V5ROEZ3S3ZEO1YR2PHCC/46BC7643-6892-47AC-B69C-39731C29BB3C-2512-000009EF4642F0FC_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884465282-9014TIDJSSYZRLT5LZKH/73B1A09C-BA7F-492F-8064-EDE44DD9391C-734-000000E09E5A8540_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884472005-2KVVFY7TBE0DMTX71BCK/83EF984A-E446-46EA-96C7-C165D40B2898-734-000000E092645830_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884490457-05FNYVI5OUOFY0GRC6LW/632E86ED-2A37-496C-9DD5-366942E5E21A-2512-000009EE600D557B_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884498365-40ZXJP6NNA50F3852NUP/762AB37F-0A03-4825-A837-3CCC77066E63-266-0000008297E0AF87_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884523133-L1FFWC3UEE45MRFCLI2Q/835A45E2-4A63-4B8E-8724-7C90D03948C0-266-00000082E793B28B_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884526567-XJTAD02MHBRBSP2UZDRW/915C79BE-6ACF-47BA-B9E3-E7BDE1083B3F-2512-000009EE319B09C2_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884551416-S8FAADAYVWEKUEPYNHW8/3424A699-FE67-40A5-8748-51343CAF9F6D-2512-000009EE2F4E8425_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884554279-O9VM2KBIKDO5CJ1E64XX/6190BA3B-1293-4046-890E-B8057BDD4ACC-734-000000E08198F7A3_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884577852-RBGJ2IZ85VT87JDMOJOX/7378CC2C-C5D1-4410-8EED-D79FB71D55B3-2512-000009EF5EECDEDF_photo.jpg
